10328	Vlotho	52.1653	8.85996	t196
10329	Voerde	51.59703	6.6863	t197
10330	Völklingen	49.25162	6.85873	t198
10332	Waldbröl	50.87576	7.61688	t199
10334	Waltrop	51.62125	7.40238	t200
10335	Wardenburg	53.05938	8.19669	t201
10336	Warendorf	51.95109	7.98756	t202
10337	Warstein	51.44488	8.34851	t203
10338	Wassenberg	51.10009	6.15484	t204
10339	Wedel	53.58374	9.69835	t205
10340	Wegberg	51.14221	6.28436	t206
10341	Weil am Rhein	47.59331	7.62082	t207
10345	Wendelstein	49.3523	11.15069	t208
10346	Werl	51.55493	7.91403	t209
10347	Wermelskirchen	51.1397	7.21583	t210
10349	Wesel	51.6669	6.62037	t211
10350	Wesseling	50.82709	6.9747	t212
10351	Westerstede	53.25682	7.92737	t213
10354	Wiesloch	49.29504	8.69846	t214
10355	Wildeshausen	52.89446	8.43375	t215
10356	Wilhelmshaven	53.5476	8.10395	t216
10357	Willich	51.26371	6.54734	t217
10358	Wipperfürth	51.1161	7.39865	t218
10359	Witten	51.44362	7.35258	t219
10361	Wittlich	49.98596	6.89308	t220
10363	Wülfrath	51.28195	7.03821	t221
10364	Wunstorf	52.42377	9.43585	t222
10367	Würselen	50.81809	6.1347	t223
10368	Zülpich	50.69447	6.65414	t224
10369	Zweibrücken	49.24686	7.36977	t225
10371	Hechingen	48.35149	8.96317	t226
10372	Helmstedt	52.2279	11.00985	t227
10375	Herzogenaurach	49.56798	10.88565	t228
10380	Holzminden	51.82798	9.4455	t229
10382	Hoyerswerda	51.43787	14.23549	t230
10385	Illertissen	48.22336	10.10347	t231
10390	Karlstadt	49.96034	9.77239	t232
10392	Kaufbeuren	47.88238	10.62192	t233
10396	Kitzingen	49.73973	10.15072	t234
10397	Kolbermoor	47.84965	12.06696	t235
10399	Königsbrunn	48.27506	10.89178	t236
10401	Laatzen	52.31506	9.79739	t237
10402	Kornwestheim	48.86158	9.18569	t238
10404	Kulmbach	50.10068	11.45032	t239
10406	Landsberg am Lech	48.04819	10.88282	t240
10407	Landshut	48.52961	12.16179	t241
10410	Langenhagen	52.44758	9.73741	t242
10412	Lauchhammer	51.48813	13.76623	t243
10419	Laupheim	48.22786	9.87874	t244
10421	Lehrte	52.37193	9.97919	t245
10422	Leonberg	48.8	9.01667	t246
10423	Leutkirch	47.82672	10.0205	t247
10424	Lichtenfels	50.14567	11.05928	t248
10432	Luckenwalde	52.09029	13.16772	t249
10438	Marktoberdorf	47.77964	10.61713	t250
10439	Marktredwitz	50.00443	12.08593	t251
10440	Meissen	51.16158	13.4737	t252
10442	Memmingen	47.98372	10.18527	t253
10445	Metzingen	48.53695	9.2833	t254
10446	Michelstadt	49.67569	9.00373	t255
10450	Mölln	53.62072	10.68748	t256
10451	Moosburg	48.47089	11.93811	t257
10452	Mosbach	49.35357	9.15106	t258
10458	Nagold	48.5498	8.72366	t259
10459	Nauen	52.60701	12.87374	t260
10466	Norderstedt	53.70177	9.99328	t261
10467	Nördlingen	48.85122	10.48868	t262
10468	Northeim	51.70662	9.99997	t263
10470	Oberasbach	49.42275	10.95766	t264
10472	Öhringen	49.19884	9.5072	t265
10473	Oranienburg	52.75577	13.24197	t266
10476	Peine	52.31928	10.2352	t267
10479	Preetz	54.23575	10.27934	t268
10480	Radolfzell	47.74194	8.97098	t269
10486	Rosenheim	47.85637	12.12247	t270
10488	Sachsenheim	48.96	9.06472	t271
10489	Salzgitter	52.15705	10.4154	t272
10493	Schlüchtern	50.34891	9.52532	t273
10495	Schorndorf	48.80537	9.52721	t274
10496	Schwabach	49.33047	11.02346	t275
10500	Seesen	51.89095	10.17847	t276
10501	Selb	50.17058	12.13054	t277
10503	Sinsheim	49.2529	8.87867	t278
10508	Straubing	48.88126	12.57385	t279
10509	Strausberg	52.57859	13.88741	t280
10514	Uelzen	52.96449	10.56704	t281
10517	Vaihingen an der Enz	48.93563	8.96045	t282
10523	Waldkraiburg	48.20854	12.39893	t283
10525	Walsrode	52.86104	9.59277	t284
10529	Weiden	49.67682	12.15613	t285
10530	Weilheim	47.84147	11.15484	t286
10532	Weinheim	49.54887	8.66697	t287
10536	Wertheim	49.759	9.50852	t288
10539	Winnenden	48.87563	9.39819	t289
10541	Wittenberge	53.00005	11.74944	t290
10542	Witzenhausen	51.34103	9.8554	t291
10543	Wolfsburg	52.42452	10.7815	t292
10544	Wurzen	51.3707	12.73939	t293
10545	Zeitz	51.04962	12.1369	t294
10546	Zirndorf	49.4424	10.95414	t295
10547	Zwickau	50.72724	12.48839	t296
10550	Nürtingen	48.62565	9.34203	t297
10551	Rostock	54.0887	12.14049	t298
10554	Bürstadt	49.64266	8.45936	t299
10555	Oldenburg	53.14039	8.21479	t300
10556	Germersheim	49.2144	8.36687	t301
10557	Offenburg	48.47377	7.94495	t302
10558	Sindelfingen	48.7	9.01667	t303
10559	Neu-Ulm	48.39279	10.01112	t304
10560	Wetter	51.38747	7.39277	t305
10561	Erlangen	49.59099	11.00783	t306
10562	Neuburg an der Donau	48.73218	11.18709	t307
10563	Überlingen	47.76977	9.17136	t308
10565	Herne	51.5388	7.22572	t309
10566	Papenburg	53.07769	7.41516	t310
10569	Offenbach	50.10061	8.76647	t311
10572	Böblingen	48.68212	9.01171	t312
10573	Bad Kreuznach	49.8414	7.86713	t313
10575	Neuss	51.19807	6.68504	t314
10576	Bad Hersfeld	50.87197	9.70891	t315
10577	Nordhorn	52.43081	7.06833	t316
10578	Marburg an der Lahn	50.80904	8.77069	t317
10581	Kaiserslautern	49.443	7.77161	t318
10583	Recklinghausen	51.61379	7.19738	t319
10584	Bayreuth	49.94782	11.57893	t320
10589	Bassum	52.85059	8.72791	t321
10591	Ganderkesee	53.03616	8.54514	t322
10593	Oyten	53.05498	9.01995	t323
10594	Rastede	53.24508	8.19718	t324
10595	Stuhr	53.03333	8.75	t325
10596	Syke	52.91345	8.82209	t326
10600	Mittweida	50.98622	12.97537	t327
10605	Cottbus	51.75769	14.32888	t328
10607	Finsterwalde	51.63388	13.70662	t329
10609	Guben	51.94993	14.7055	t330
10614	Weißwasser	51.50403	14.64017	t331
10615	Döbeln	51.1221	13.11027	t332
10617	Pirna	50.95843	13.93702	t333
10618	Radebeul	51.10654	13.66047	t334
10620	Riesa	51.30777	13.29168	t335
10621	Apolda	51.02624	11.51638	t336
10622	Arnstadt	50.84048	10.95198	t337
10624	Eisenach	50.9807	10.31522	t338
10626	Ilmenau	50.68322	10.91858	t339
10627	Jena	50.92878	11.5899	t340
10628	Saalfeld	50.64826	11.36536	t341
10629	Sömmerda	51.15914	11.11524	t342
10630	Suhl	50.60911	10.69401	t343
10639	Frankfurt (Oder)	52.34714	14.55062	t344
10641	Eisenhüttenstadt	52.15	14.65	t345
10645	Duderstadt	51.51312	10.25951	t346
10653	Buxtehude	53.46994	9.68968	t347
10655	Seevetal	53.4	9.96667	t348
10657	Reinbek	53.51773	10.24861	t349
10665	Sehnde	52.31394	9.9682	t350
10666	Seelze	52.39635	9.59727	t351
10667	Springe	52.20845	9.55416	t352
10677	Delitzsch	51.52546	12.34284	t353
10680	Oschatz	51.30001	13.10984	t354
10683	Bad Schwartau	53.91887	10.69691	t355
10685	Stockelsdorf	53.8922	10.64713	t356
10687	Wismar	53.89218	11.45563	t357
10693	Dessau	51.83864	12.24555	t358
10696	Oschersleben	52.03039	11.22898	t359
10700	Zerbst	51.9662	12.08517	t360
10701	Bad Zwischenahn	53.18475	8.00286	t361
10702	Bad Bentheim	52.30066	7.15763	t362
10703	Damme	52.52148	8.19766	t363
10707	Jülich	50.92149	6.36267	t364
10710	Bad Oeynhausen	52.20699	8.80365	t365
10711	Bad Pyrmont	51.98589	9.25246	t366
10712	Hiddenhausen	52.16667	8.61667	t367
10716	Mechernich	50.59304	6.65224	t368
10720	Groß-Umstadt	49.86899	8.9321	t369
10723	Weiterstadt	49.9039	8.58874	t370
10725	Fröndenberg	51.47563	7.76946	t371
10726	Straelen	51.4419	6.26639	t372
10727	Brüggen	51.24053	6.18376	t373
10728	Ennepetal	51.29848	7.3629	t374
